record_id,id,scientific_name,year,start_month,end_month,can_first_month,can_full_season,lon,lat
44,105Neuman2007,Hirundo_rustica,2002,5,8,1,1,-76.5,42.35
45,184Smith1991,Hirundo_rustica,1989,5,8,1,1,-76.32,44.55
46,436Yamagishi1992,Lanius_bucephalus,1989,3,6,1,1,135.53,34.57
47,388Ležalová-Piálková2011,Larus_ridibundus,2004,4,5,1,1,17.08,48.92
48,411Lawless1997,Megascops_asio,1994,3,6,1,1,-84.12,37.62
49,132Major2004,Melospiza_melodia,2000,4,7,1,1,-63.68,44.75
50,137Currie1998,Oenanthe_oenanthe,1991,3,6,1,1,-4.78,52.77
51,371Quillfeldt2012,Pachyptila_belcheri,2006,12,1,1,1,-61.28,-51.72
52,444Lubjuhn1999,Parus_ater,1993,4,7,1,1,11,52.33
53,14Gullberg1992,Parus_caeruleus,1988,4,6,1,1,17.63,59.83
54,350Vedder2010,Parus_caeruleus,2008,4,6,1,1,6.58,53.13
55,466García-Navas2015,Parus_major,2012,4,6,1,1,-4.33,39.55
56,14Gullberg1992,Parus_major,1998,4,6,1,1,17.67,59.83
57,445Lubjuhn2007,Parus_major,1993,4,6,1,1,11.02,52.37
58,240Otter2001,Parus_major,1998,4,6,1,1,12.57,55.67
59,474Winkel2001,Parus_major,1998,4,6,1,1,10.32,52.15
60,146Garcia-Del-Rey2012,Parus_teneriffae,2009,4,7,1,1,16.38,28.42
61,357Cordero1999,Passer_domesticus,1994,3,5,1,1,-0.95,53.07
62,357Cordero1999,Passer_domesticus,1995,4,5,1,1,2.15,41.38
63,421 Lorentsen2000,Thalassoica_antarctica,1993,1,2,1,1,5.17,-71.88
64,242Berthier2012,Upupa_epops,2004,4,8,1,1,7.67,46.33
65,321Martín-Vivaldi2002,Upupa_epops,1995,2,6,1,1,-3,37
66,418Harper2010,Vermivora_chrysoptera,2005,4,7,1,1,-76.32,44.57
67,61Carvalho2006,Volatinia_jacarina,1999,11,3,1,1,-47.93,-15.95
68,71Eikenaar2013,Zonotrichia_capensis,2006,10,1,1,1,-78.15,-0.35
69,71Eikenaar2013,Zonotrichia_capensis,2009,1,12,1,1,-77.92,-0.12
70,263Schulze-Hagen1993,Acrocephalus_paludicola,1990,6,7,1,1,23,53.48
71,138Richardson2001,Acrocephalus_sechellensis,1999,5,9,1,1,55.65,-4.32
72,299de L. Brooke1995,Acrocephalus_vaughani,1991,9,12,1,1,-128.32,-24.38
