"location_id","lat","long","stored_distance_to_coast_km","reconstructed_distance_to_coast_km","difference_km","absolute_difference_km"
196,34.74,-98.67,656.7458568,656.745856791901,-8.09916400612565e-09,8.09916400612565e-09
197,61.4167,8.8667,71.16244797,71.1624479712703,1.27033672470134e-09,1.27033672470134e-09
198,34.75,-98.5833,653.4738396,653.473839572119,-2.78814695775509e-08,2.78814695775509e-08
199,40.9,-4.0167,280.6899844,280.689984432556,3.25556470670563e-08,3.25556470670563e-08
200,39.2311,-75.9819,15.150496,15.150495999163,-8.37033553580113e-10,8.37033553580113e-10
201,57.05,18.2833,1.763540702,1.76354070194588,-5.41231504058715e-11,5.41231504058715e-11
202,56.35,84.9333,1287.147281,1287.14728057501,-4.24987547376077e-07,4.24987547376077e-07
203,46.91,23.91,444.2434657,444.243465743089,4.30892441727337e-08,4.30892441727337e-08
204,61.3,-22.5,277.3638747,277.363874705868,5.86817350267665e-09,5.86817350267665e-09
205,41.39,2.17,3.43370124,3.43370123998287,-1.71307412699662e-11,1.71307412699662e-11
206,48.1333,10.8833,312.5806009,312.580600856276,-4.37243556916656e-08,4.37243556916656e-08
207,44.6167,-63.5667,0.332729802,0.332729802348058,3.48057638266397e-10,3.48057638266397e-10
208,21.6,51.5333,267.9771802,267.977180204773,4.7726302909723e-09,4.7726302909723e-09
209,-15.76,-47.86,878.692843,878.692843000213,2.12594386539422e-10,2.12594386539422e-10
210,-28.05,-64.25,657.8593978,657.859397790556,-9.44407929637237e-09,9.44407929637237e-09
211,-30.6333,-71.6667,4.027488578,4.02748857835283,3.52826212690616e-10,3.52826212690616e-10
212,-55.0667,-67.6667,13.04660811,13.0466081076447,-2.35533548220701e-09,2.35533548220701e-09
213,40,-3,234.6296332,234.629633182943,-1.70572320712381e-08,1.70572320712381e-08
214,71.3167,-156.65,3.341902677,3.34190267743193,4.31933155908837e-10,4.31933155908837e-10
215,39.4,141.99,1.861404955,1.86140495453034,-4.69660532687044e-10,4.69660532687044e-10
216,-35.5667,-58.0167,62.28038773,62.2803877287407,-1.25930910144234e-09,1.25930910144234e-09
217,47.9919,17.3367,367.3499539,367.349953861059,-3.89413798984606e-08,3.89413798984606e-08
218,-32.6333,-69.3667,194.5963286,194.596328597652,-2.34837216339656e-09,2.34837216339656e-09
219,52.3833,-1.5667,92.80584657,92.8058465653604,-4.63963090169273e-09,4.63963090169273e-09
220,-27.2667,152.6833,43.60728422,43.6072842235216,3.52159901240157e-09,3.52159901240157e-09
221,69.4667,-29.8333,105.3387176,105.33871757094,-2.90599615482279e-08,2.90599615482279e-08
222,40.3667,96.2333,1833.535041,1833.53504100616,6.16478246229235e-09,6.16478246229235e-09
223,-47.75,-65.8833,4.36784871,4.36784870974523,-2.54765986085204e-10,2.54765986085204e-10
224,67.43,11.88,59.06844355,59.0684435523984,2.39840858284879e-09,2.39840858284879e-09
225,23.65,107.0667,242.1864984,242.18649843795,3.79502296254941e-08,3.79502296254941e-08
226,52.63,-0.27,37.29517287,37.2951728668332,-3.16675397016297e-09,3.16675397016297e-09
